,clubname,rec_1,rec_2,rec_3,rec_4,rec_5
0,JASS,고대농악대,고려대학교 합창단,고려대학교 관악부,고려대학교 관현악단,국악연구회
1,TTP,크림슨,노래얼,고려대학교 관현악단,고려대학교 합창단,국악연구회
2,고대농악대,JASS,고려대학교 합창단,고려대학교 관악부,고려대학교 관현악단,국악연구회
3,고전기타부,그루터기,JASS,고대농악대,고려대학교 관악부,고려대학교 관현악단
4,고려대학교 관악부,JASS,고대농악대,고려대학교 합창단,고려대학교 관현악단,국악연구회
5,고려대학교 관현악단,JASS,고대농악대,고려대학교 합창단,고려대학교 관악부,국악연구회
6,국악연구회,JASS,고대농악대,고려대학교 합창단,고려대학교 관악부,고려대학교 관현악단
7,그루터기,고전기타부,JASS,고대농악대,고려대학교 관악부,고려대학교 관현악단
8,노래얼,크림슨,TTP,TERRA,국악연구회,고려대학교 합창단
9,크림슨,노래얼,TTP,TERRA,국악연구회,고려대학교 합창단
10,ATP,크림슨,TERRA,노래얼,국악연구회,고려대학교 합창단
11,KURC,고집,호우회,운화회,로타랙트,KUSA
12,KUSA,운화회,로타랙트,KUSEP,호우회,고집
13,KUSEP,고집,KUSA,호우회,운화회,KURC
14,고집,KURC,KUSA,KUSEP,호우회,운화회
15,로타랙트,운화회,호우회,KUSA,KURC,KUSEP
16,운화회,로타랙트,호우회,KUSA,KURC,KUSEP
17,호우회,운화회,KURC,로타랙트,고집,KUSA
18,고고쉼,호우회,고집,KUSEP,KUSA,KURC
19,KUCC,ALC,팝콘,한일문화연구회,LECA,ECS
20,고대바둑사랑,뇌의주름,유스호스텔,호영회,소믈리에,한국화회
21,뇌의주름,고대바둑사랑,소믈리에,호영회,유스호스텔,KUSA
22,소믈리에,유스호스텔,호영회,고대바둑사랑,한국화회,거의격월간몰라도되는데
23,유스호스텔,호영회,고대바둑사랑,소믈리에,한국화회,거의격월간몰라도되는데
24,호진회,돌빛,호영회,한국화회,거의격월간몰라도되는데,그림마당
25,ALC,ECS,팝콘,KUCC,한일문화연구회,LECA
26,ECS,ALC,팝콘,KUCC,극예술연구회,한일문화연구회
27,LECA,한일문화연구회,중국연구회,ALC,팝콘,KUCC
28,중국연구회,LECA,한일문화연구회,팝콘,KUCC,KUSA
29,한일문화연구회,LECA,중국연구회,ALC,팝콘,KUCC
30,KUDT,불아스,JASS,고대농악대,고려대학교 합창단,고려대학교 관악부
31,LoGS,고려대학교 관악부,고려대학교 합창단,국악연구회,고려대학교 관현악단,JASS
32,TERRA,노래얼,크림슨,JASS,고대농악대,고려대학교 관악부
33,극예술연구회,소울메이트,JASS,고려대학교 합창단,고대농악대,고려대학교 관악부
34,미스디렉션,JASS,극예술연구회,고대농악대,고려대학교 관악부,고려대학교 관현악단
35,불아스,KUDT,JASS,고대농악대,고려대학교 합창단,고려대학교 관악부
36,소울메이트,JASS,고려대학교 관현악단,고려대학교 합창단,국악연구회,극예술연구회
