,userid,clubid,pred
0,abgc4531,뉴런,3.5
1,abgc4531,열두루달,3.5
2,abgc4531,팝콘,3.5
3,abgc4531,불교학생회,3.5
4,abgc4531,로타랙트,3.0
5,abgc4531,중국연구회,3.0
6,abgc4531,LECA,3.0
7,abgc4531,ECS,3.0
8,abgc4531,ALC,3.0
9,abgc4531,뇌의주름,3.0
10,opt758,LECA,3.5
11,opt758,탁구사랑회,3.5
12,opt758,뇌의주름,3.5
13,opt758,로타랙트,3.5
14,opt758,중국연구회,3.0
15,opt758,캘리쿠,3.0
16,opt758,팝콘,3.0
17,opt758,유스호스텔,3.0
18,opt758,TTP,3.0
19,opt758,KUCC,3.0
20,luo2165,JASS,3.5
21,luo2165,ALC,3.5
22,luo2165,소믈리에,3.5
23,luo2165,뇌의주름,3.5
24,luo2165,ENM,3.5
25,luo2165,노래얼,3.5
26,luo2165,LECA,3.5
27,luo2165,사람과 사람,3.0
28,luo2165,LoGS,3.0
29,luo2165,TERRA,3.0
30,dpow3146,LECA,4.5
31,dpow3146,팝콘,4.0
32,dpow3146,로타랙트,4.0
33,dpow3146,JASS,4.0
34,dpow3146,호영회,3.5
35,dpow3146,노래얼,3.5
36,dpow3146,KUBT,3.5
37,dpow3146,IVF,3.5
38,dpow3146,KUSA,3.5
39,dpow3146,뇌의주름,3.5
40,pd1245,LECA,4.0
41,pd1245,JASS,3.5
42,pd1245,로타랙트,3.5
43,pd1245,탁구사랑회,3.5
44,pd1245,수호회,3.5
45,pd1245,유스호스텔,3.5
46,pd1245,뇌의주름,3.5
47,pd1245,운화회,3.5
48,pd1245,LoGS,3.0
49,pd1245,TERRA,3.0
50,gdrt567,LECA,5.0
51,gdrt567,로타랙트,5.0
52,gdrt567,JASS,4.5
53,gdrt567,팝콘,4.5
54,gdrt567,운화회,4.5
55,gdrt567,중국연구회,4.5
56,gdrt567,KUSA,4.5
57,gdrt567,수호회,4.5
58,gdrt567,탁구사랑회,4.5
59,gdrt567,호영회,4.0
60,aio812,JASS,3.5
61,aio812,소믈리에,3.5
62,aio812,고란도란,3.5
63,aio812,평화나비,3.5
64,aio812,TERRA,3.5
65,aio812,LECA,3.5
66,aio812,ALC,3.5
67,aio812,유스호스텔,3.5
68,aio812,뇌의주름,3.5
69,aio812,ENTHES,3.0
70,ulp2164,팝콘,3.5
71,ulp2164,중국연구회,3.5
72,ulp2164,운화회,3.5
73,ulp2164,JASS,3.0
74,ulp2164,뇌의주름,3.0
75,ulp2164,탁구사랑회,3.0
76,ulp2164,백구회,3.0
77,ulp2164,KUBT,3.0
78,ulp2164,ENM,3.0
79,ulp2164,호영회,3.0
80,qldb44,중국연구회,4.5
81,qldb44,LECA,4.5
82,qldb44,뇌의주름,4.0
83,qldb44,KURC,4.0
84,qldb44,KUCC,4.0
85,qldb44,뉴런,4.0
86,qldb44,ALC,3.5
87,qldb44,운화회,3.5
88,qldb44,탁구사랑회,3.5
89,qldb44,돌빛,3.5
90,tplb52,탁구사랑회,4.0
91,tplb52,뉴런,4.0
92,tplb52,소믈리에,4.0
93,tplb52,평화나비,4.0
94,tplb52,TTP,3.5
95,tplb52,불교학생회,3.5
96,tplb52,중국연구회,3.5
97,tplb52,LECA,3.5
98,tplb52,캘리쿠,3.5
99,tplb52,유스호스텔,3.5
100,gglp11,탁구사랑회,4.5
101,gglp11,LECA,4.5
102,gglp11,팝콘,4.0
103,gglp11,중국연구회,4.0
104,gglp11,ALC,4.0
105,gglp11,로타랙트,4.0
106,gglp11,유스호스텔,4.0
107,gglp11,호영회,4.0
108,gglp11,뇌의주름,4.0
109,gglp11,평화나비,3.5
110,ooun771,탁구사랑회,4.0
111,ooun771,LECA,4.0
112,ooun771,JASS,3.5
113,ooun771,로타랙트,3.5
114,ooun771,농구연구회,3.5
115,ooun771,수레바퀴,3.5
116,ooun771,유스호스텔,3.5
117,ooun771,뇌의주름,3.5
118,ooun771,수호회,3.5
119,ooun771,노래얼,3.5
120,whee12,JASS,4.0
121,whee12,수호회,3.5
122,whee12,ALC,3.5
123,whee12,운화회,3.5
124,whee12,로타랙트,3.5
125,whee12,KURC,3.5
126,whee12,백구회,3.5
127,whee12,뇌의주름,3.5
128,whee12,예술비평연구회,3.5
129,whee12,ENTHES,3.0
130,ppu888,탁구사랑회,4.0
131,ppu888,중국연구회,4.0
132,ppu888,LECA,4.0
133,ppu888,불교학생회,4.0
134,ppu888,JASS,3.5
135,ppu888,운화회,3.5
136,ppu888,TTP,3.5
137,ppu888,뉴런,3.5
138,ppu888,미스디렉션,3.5
139,ppu888,수레바퀴,3.5
140,nunu234,LECA,3.0
141,nunu234,ECS,2.5
142,nunu234,KURC,2.5
143,nunu234,중국연구회,2.5
144,nunu234,호우회,2.5
145,nunu234,운화회,2.5
146,nunu234,로타랙트,2.5
147,nunu234,KUSA,2.5
148,nunu234,ALC,2.5
149,nunu234,호영회,2.5
150,row8989,LECA,4.5
151,row8989,JASS,4.0
152,row8989,팝콘,4.0
153,row8989,수호회,4.0
154,row8989,KURC,3.5
155,row8989,중국연구회,3.5
156,row8989,ECS,3.5
157,row8989,ALC,3.5
158,row8989,뇌의주름,3.5
159,row8989,호영회,3.5
160,hook00,LECA,4.0
161,hook00,JASS,3.5
162,hook00,탁구사랑회,3.5
163,hook00,불교학생회,3.5
164,hook00,평화나비,3.5
165,hook00,ALC,3.5
166,hook00,운화회,3.5
167,hook00,로타랙트,3.5
168,hook00,KURC,3.5
169,hook00,중국연구회,3.5
170,hoihoi33,ALC,4.0
171,hoihoi33,뉴런,4.0
172,hoihoi33,탁구사랑회,4.0
173,hoihoi33,중국연구회,4.0
174,hoihoi33,LECA,4.0
175,hoihoi33,뇌의주름,4.0
176,hoihoi33,유스호스텔,3.5
177,hoihoi33,고란도란,3.5
178,hoihoi33,평화나비,3.5
179,hoihoi33,팝콘,3.5
180,iqeq99,로타랙트,5.0
181,iqeq99,LECA,5.0
182,iqeq99,ALC,4.5
