,clubname,rec_1,rec_2,rec_3,rec_4,rec_5
0,JASS,TERRA,TTP,고전기타부,LoGS,그루터기
1,TTP,그루터기,JASS,KUCC,노래얼,크림슨
2,고대농악대,국악연구회,고전기타부,JASS,중국연구회,고고쉼
3,고전기타부,고려대학교 관악부,고려대학교 관현악단,고대농악대,JASS,그루터기
4,고려대학교 관악부,고려대학교 관현악단,고전기타부,탁구사랑회,국악연구회,그루터기
5,고려대학교 관현악단,고려대학교 관악부,고전기타부,아마추어축구부,탁구사랑회,그루터기
6,국악연구회,고대농악대,고전기타부,고고쉼,그루터기,한국근현대사연구회
7,그루터기,ATP,TTP,노래얼,크림슨,고전기타부
8,노래얼,크림슨,그루터기,ATP,LoGS,고려대학교 합창단
9,크림슨,노래얼,ATP,그루터기,KUDT,LoGS
10,ATP,그루터기,크림슨,노래얼,LoGS,고전기타부
11,KURC,로타랙트,운화회,KUSA,호우회,KUSEP
12,KUSA,로타랙트,고집,호우회,KURC,KUSEP
13,KUSEP,운화회,KUSA,호우회,로타랙트,KURC
14,고집,KUSA,로타랙트,호우회,운화회,고대바둑사랑
15,로타랙트,KURC,KUSA,호우회,운화회,고집
16,운화회,KURC,KUSEP,로타랙트,KUSA,호우회
17,호우회,로타랙트,KUSA,KUSEP,KURC,고집
18,고고쉼,국악연구회,LoGS,KUSA,KUSEP,TTP
19,KUCC,고대바둑사랑,열두루달,뇌의주름,고란도란,고집
20,고대바둑사랑,뇌의주름,KUCC,고집,열두루달,TTP
21,뇌의주름,고대바둑사랑,소믈리에,KUCC,호진회,열두루달
22,소믈리에,뇌의주름,미스디렉션,호진회,유스호스텔,극예술연구회
23,유스호스텔,호진회,로타랙트,소믈리에,KUSA,뇌의주름
24,호진회,로타랙트,소믈리에,유스호스텔,원불교학생회,뇌의주름
25,ALC,ECS,한일문화연구회,고란도란,중국연구회,LECA
26,ECS,ALC,LECA,예술비평연구회,한일문화연구회,한국근현대사연구회
27,LECA,ECS,중국연구회,ALC,KUBT,한일문화연구회
28,중국연구회,한일문화연구회,LECA,ALC,ECS,고대농악대
29,한일문화연구회,중국연구회,ALC,ECS,국악연구회,한국근현대사연구회
30,KUDT,불아스,크림슨,TERRA,고려대학교 합창단,노래얼
31,LoGS,고려대학교 합창단,소울메이트,ATP,노래얼,JASS
32,TERRA,JASS,KUDT,백구회,TTP,불아스
33,극예술연구회,원불교학생회,고려대학교 합창단,JASS,LoGS,TERRA
34,미스디렉션,소믈리에,불교학생회,호진회,노래얼,예술비평연구회
35,불아스,KUDT,고려대학교 합창단,TERRA,소울메이트,크림슨
36,소울메이트,고려대학교 합창단,LoGS,원불교학생회,노래얼,불아스
37,고려대학교 합창단,소울메이트,LoGS,원불교학생회,노래얼,극예술연구회
38,KURP,UNSA,평화나비,철학마을,고대문학회,한국근현대사연구회
39,UNSA,KURP,수레바퀴,평화나비,거의격월간몰라도되는데,사람과 사람
40,고대문학회,고란도란,수레바퀴,철학마을,평화나비,사람과 사람
41,고란도란,고대문학회,돌빛,뉴런,KUCC,수레바퀴
42,뉴런,열두루달,고란도란,예술비평연구회,KUCC,ALC
43,사람과 사람,수레바퀴,한국사회연구회,고대문학회,평화나비,고란도란
44,수레바퀴,사람과 사람,고대문학회,한국사회연구회,철학마을,고란도란
45,열두루달,뉴런,KUCC,예술비평연구회,고대바둑사랑,뇌의주름
46,예술비평연구회,철학마을,뉴런,ECS,열두루달,한국근현대사연구회
47,철학마을,한국근현대사연구회,예술비평연구회,평화나비,고대문학회,수레바퀴
48,평화나비,철학마을,한국사회연구회,한국근현대사연구회,KURP,고대문학회
49,한국근현대사연구회,철학마을,평화나비,국악연구회,예술비평연구회,ECS
50,한국사회연구회,사람과 사람,평화나비,수레바퀴,거의격월간몰라도되는데,돌빛
51,거의격월간몰라도되는데,그림마당,캘리쿠,서화회,한국사회연구회,돌빛
52,그림마당,캘리쿠,거의격월간몰라도되는데,KUBC,서화회,한국화회
53,돌빛,고란도란,거의격월간몰라도되는데,캘리쿠,평화나비,한국사회연구회
54,서화회,한국화회,캘리쿠,그림마당,거의격월간몰라도되는데,KUBC
55,캘리쿠,그림마당,한국화회,서화회,거의격월간몰라도되는데,KUBC
56,팝콘,고란도란,호진회,돌빛,한일문화연구회,CCC
57,한국화회,서화회,캘리쿠,그림마당,젊은예수,거의격월간몰라도되는데
58,호영회,예수전도단,그림마당,한국화회,캘리쿠,돌빛
59,CCC,ENM,IVF,예수전도단,원불교학생회,SFC
60,ENM,IVF,CCC,SFC,JOY,젊은예수
61,IVF,ENM,CCC,JOY,SFC,젊은예수
62,JOY,SFC,젊은예수,IVF,ENM,예수전도단
63,SFC,JOY,젊은예수,IVF,ENM,예수전도단
64,불교학생회,고려대학교 합창단,미스디렉션,고전기타부,LoGS,JASS
65,예수전도단,호영회,SFC,JOY,IVF,CCC
66,원불교학생회,소울메이트,고려대학교 합창단,극예술연구회,LoGS,CCC
67,젊은예수,SFC,JOY,한국화회,ENM,IVF
68,ENTHES,KUBT,KULAX,KUBC,한량회,FC엘리제
69,FC엘리제,KUBC,KULAX,한량회,KUBT,ENTHES
70,KUBC,FC엘리제,그림마당,KUBT,ENTHES,캘리쿠
71,KUBT,KULAX,ENTHES,KUBC,FC엘리제,한량회
72,KULAX,한량회,FC엘리제,KUBT,ENTHES,KUBC
73,고풋,아마추어축구부,궁도회,농구연구회,백구회,고려대학교 관현악단
74,궁도회,고풋,아마추어축구부,농구연구회,수호회,백구회
75,농구연구회,택견한울,수호회,궁도회,탁구사랑회,아마추어축구부
76,백구회,수호회,아마추어축구부,TERRA,농구연구회,궁도회
77,수호회,백구회,농구연구회,궁도회,택견한울,탁구사랑회
78,아마추어축구부,고풋,궁도회,농구연구회,백구회,고려대학교 관현악단
79,탁구사랑회,택견한울,농구연구회,ENTHES,고려대학교 관악부,한량회
80,택견한울,탁구사랑회,농구연구회,한량회,ENTHES,수호회
81,한량회,KULAX,FC엘리제,ENTHES,KUBC,KUBT
