,userid,clubname,meanpred
0,abgc4531,뉴런,3.5
1,abgc4531,LECA,3.46
2,abgc4531,팝콘,3.46
3,abgc4531,KURC,3.44
4,abgc4531,로타랙트,3.43
5,abgc4531,뇌의주름,3.43
6,abgc4531,중국연구회,3.41
7,abgc4531,열두루달,3.39
8,abgc4531,불교학생회,3.37
9,abgc4531,운화회,3.36
0,opt758,탁구사랑회,3.54
1,opt758,뇌의주름,3.51
2,opt758,LECA,3.42
3,opt758,JASS,3.4
4,opt758,로타랙트,3.39
5,opt758,KURC,3.34
6,opt758,중국연구회,3.34
7,opt758,노래얼,3.27
8,opt758,KUBC,3.26
9,opt758,소믈리에,3.24
0,luo2165,소믈리에,3.68
1,luo2165,뇌의주름,3.66
2,luo2165,JASS,3.54
3,luo2165,ALC,3.5
4,luo2165,노래얼,3.49
5,luo2165,ENM,3.49
6,luo2165,LECA,3.49
7,luo2165,중국연구회,3.45
8,luo2165,운화회,3.44
9,luo2165,KUBT,3.38
0,dpow3146,LECA,3.86
1,dpow3146,로타랙트,3.78
2,dpow3146,뇌의주름,3.65
3,dpow3146,JASS,3.62
4,dpow3146,팝콘,3.61
5,dpow3146,노래얼,3.58
6,dpow3146,수호회,3.57
7,dpow3146,고란도란,3.55
8,dpow3146,운화회,3.54
9,dpow3146,IVF,3.49
0,pd1245,뇌의주름,3.62
1,pd1245,탁구사랑회,3.6
2,pd1245,LECA,3.58
3,pd1245,로타랙트,3.55
4,pd1245,수호회,3.51
5,pd1245,JASS,3.5
6,pd1245,유스호스텔,3.49
7,pd1245,운화회,3.48
8,pd1245,노래얼,3.48
9,pd1245,소믈리에,3.48
0,gdrt567,JASS,4.01
1,gdrt567,LECA,4.01
2,gdrt567,탁구사랑회,3.99
3,gdrt567,로타랙트,3.98
4,gdrt567,수호회,3.92
5,gdrt567,뇌의주름,3.91
6,gdrt567,운화회,3.9
7,gdrt567,중국연구회,3.87
8,gdrt567,팝콘,3.87
9,gdrt567,예술비평연구회,3.85
0,aio812,뇌의주름,3.6
1,aio812,LECA,3.54
2,aio812,소믈리에,3.51
3,aio812,JASS,3.5
4,aio812,고란도란,3.48
5,aio812,TERRA,3.45
6,aio812,ALC,3.44
7,aio812,평화나비,3.43
8,aio812,유스호스텔,3.42
9,aio812,팝콘,3.41
0,ulp2164,팝콘,3.64
1,ulp2164,JASS,3.49
2,ulp2164,중국연구회,3.49
3,ulp2164,뇌의주름,3.46
4,ulp2164,운화회,3.44
5,ulp2164,ALC,3.42
6,ulp2164,노래얼,3.42
7,ulp2164,KUSA,3.4
8,ulp2164,그루터기,3.37
9,ulp2164,고대농악대,3.36
0,qldb44,LECA,3.92
1,qldb44,중국연구회,3.86
2,qldb44,뇌의주름,3.74
3,qldb44,탁구사랑회,3.72
4,qldb44,노래얼,3.64
5,qldb44,KURC,3.63
6,qldb44,KUCC,3.61
7,qldb44,로타랙트,3.6
8,qldb44,뉴런,3.57
9,qldb44,KUSA,3.55
0,tplb52,탁구사랑회,3.83
1,tplb52,소믈리에,3.74
2,tplb52,LECA,3.7
3,tplb52,평화나비,3.7
4,tplb52,KUBC,3.66
5,tplb52,로타랙트,3.64
6,tplb52,노래얼,3.63
7,tplb52,그루터기,3.61
8,tplb52,중국연구회,3.6
9,tplb52,유스호스텔,3.58
0,gglp11,LECA,4.0
1,gglp11,탁구사랑회,3.98
2,gglp11,뇌의주름,3.96
3,gglp11,중국연구회,3.83
4,gglp11,팝콘,3.74
5,gglp11,호영회,3.73
6,gglp11,로타랙트,3.71
7,gglp11,ALC,3.7
8,gglp11,유스호스텔,3.69
9,gglp11,JASS,3.68
0,ooun771,LECA,3.68
1,ooun771,탁구사랑회,3.67
2,ooun771,뇌의주름,3.57
3,ooun771,JASS,3.57
4,ooun771,로타랙트,3.53
5,ooun771,노래얼,3.52
6,ooun771,수레바퀴,3.5
7,ooun771,유스호스텔,3.47
8,ooun771,ALC,3.42
9,ooun771,그루터기,3.42
0,whee12,JASS,3.76
1,whee12,뇌의주름,3.6
2,whee12,로타랙트,3.55
3,whee12,ALC,3.53
4,whee12,탁구사랑회,3.51
5,whee12,수호회,3.49
6,whee12,예술비평연구회,3.47
7,whee12,운화회,3.44
8,whee12,노래얼,3.44
9,whee12,백구회,3.44
0,ppu888,탁구사랑회,3.85
1,ppu888,뇌의주름,3.74
2,ppu888,LECA,3.73
3,ppu888,중국연구회,3.64
4,ppu888,불교학생회,3.6
5,ppu888,KURC,3.58
6,ppu888,그루터기,3.58
7,ppu888,ALC,3.57
8,ppu888,고전기타부,3.56
9,ppu888,로타랙트,3.55
0,nunu234,LECA,3.31
1,nunu234,로타랙트,3.13
2,nunu234,운화회,3.13
3,nunu234,뇌의주름,3.09
4,nunu234,중국연구회,3.07
5,nunu234,탁구사랑회,3.06
6,nunu234,KUSA,3.06
7,nunu234,ECS,3.05
8,nunu234,ALC,3.05
9,nunu234,호우회,3.05
0,row8989,LECA,3.9
1,row8989,JASS,3.77
2,row8989,수호회,3.69
3,row8989,팝콘,3.68
4,row8989,ALC,3.65
5,row8989,뇌의주름,3.63
6,row8989,KURC,3.61
7,row8989,중국연구회,3.6
8,row8989,운화회,3.57
