,userid,clubid,pred
0,abgc4531,뉴런,3.7074982222708983
1,abgc4531,불교학생회,3.4331918795146517
2,abgc4531,팝콘,3.4154302712122764
3,abgc4531,열두루달,3.385827516330202
4,abgc4531,KURC,3.3056096169049067
5,abgc4531,LECA,3.2557875739787776
6,abgc4531,로타랙트,3.232974759019719
7,abgc4531,중국연구회,3.1657151136363058
8,abgc4531,운화회,3.141126278961305
9,abgc4531,뇌의주름,3.1116120026189784
10,opt758,탁구사랑회,3.622247615603133
11,opt758,LECA,3.443346587053658
12,opt758,뇌의주름,3.442330730320482
13,opt758,로타랙트,3.342158869705713
14,opt758,KURC,3.2800185278726146
15,opt758,열두루달,3.2254568483934993
16,opt758,JASS,3.15063755008268
17,opt758,중국연구회,3.074636460370436
18,opt758,KUBC,3.0190552211995514
19,opt758,팝콘,3.002892608166721
20,luo2165,소믈리에,3.7116087868022967
21,luo2165,뇌의주름,3.617395272190334
22,luo2165,JASS,3.4530572214189665
23,luo2165,ENM,3.3612344553818176
24,luo2165,LECA,3.3366360675001245
25,luo2165,ALC,3.3205260777300296
26,luo2165,KUBT,3.298453863401865
27,luo2165,노래얼,3.295410473111465
28,luo2165,중국연구회,3.2832186253056954
29,luo2165,운화회,3.247650668121661
30,dpow3146,LECA,4.542016573689573
31,dpow3146,로타랙트,4.245789384025297
32,dpow3146,팝콘,3.9527745856268433
33,dpow3146,JASS,3.8701792759026272
34,dpow3146,운화회,3.6650476795952587
35,dpow3146,수호회,3.6019552228930602
36,dpow3146,IVF,3.53181151410562
37,dpow3146,호우회,3.5171410018776137
38,dpow3146,노래얼,3.5020524721272164
39,dpow3146,고란도란,3.470365704208485
40,pd1245,LECA,3.8722849562996524
41,pd1245,로타랙트,3.6185938265592807
42,pd1245,뇌의주름,3.594680315300923
43,pd1245,탁구사랑회,3.53541313217444
44,pd1245,유스호스텔,3.4416812441444544
45,pd1245,운화회,3.3902543997656767
46,pd1245,수호회,3.374501644791851
47,pd1245,JASS,3.33524165375971
48,pd1245,수레바퀴,3.281842612611469
49,pd1245,고란도란,3.2524350254867493
50,gdrt567,LECA,4.810287070855017
51,gdrt567,로타랙트,4.800481549573972
